date,open,high,low,close,volume,name
03-05-2022,301.059998,308.026672,296.196655,303.083344,63709500,Tesla
04-05-2022,301.313324,318.5,295.093323,317.540009,81643800,Tesla
05-05-2022,313.006653,315.200012,285.899994,291.093323,92519100,Tesla
06-05-2022,295.666656,296,281.036682,288.549988,72903000,Tesla
09-05-2022,278.816681,281.876678,260.383331,262.369995,90810300,Tesla
10-05-2022,273.103333,275.119995,258.083344,266.679993,84401700,Tesla
11-05-2022,265,269.92334,242.399994,244.666672,97224600,Tesla
12-05-2022,233.666672,253.220001,226.666672,242.666672,140313000,Tesla
13-05-2022,257.82666,262.450012,250.523331,256.529999,92150700,Tesla
16-05-2022,255.720001,256.58667,239.696671,241.456665,86098500,Tesla
17-05-2022,249.119995,254.82666,242.949997,253.869995,80236200,Tesla
18-05-2022,248.17334,253.5,233.603333,236.603333,87811800,Tesla
19-05-2022,235.666672,244.666672,231.369995,236.473328,90296700,Tesla
20-05-2022,237.996674,240.526672,211,221.300003,144973200,Tesla
23-05-2022,218.339996,226.653336,212.686661,224.96666,88903500,Tesla
24-05-2022,217.843338,217.973328,206.856674,209.386673,89092500,Tesla
25-05-2022,207.949997,223.106674,207.669998,219.600006,92139300,Tesla
26-05-2022,220.473328,239.556671,217.886673,235.910004,106003200,Tesla
27-05-2022,241.083328,253.266663,240.176666,253.210007,89295000,Tesla
31-05-2022,257.946655,259.600006,244.743332,252.753326,101914500,Tesla
01-06-2022,251.720001,257.32666,243.639999,246.789993,77247900,Tesla
02-06-2022,244.156662,264.209991,242.066666,258.333344,93473100,Tesla
03-06-2022,243.226669,247.796661,233.416672,234.516663,112393800,Tesla
06-06-2022,244.353333,244.866669,234.350006,238.279999,84204600,Tesla
07-06-2022,234,239.996674,230.093338,238.886673,72808500,Tesla
08-06-2022,240.08667,249.963333,239.176666,241.866669,76210500,Tesla
09-06-2022,249.339996,255.546661,239.32666,239.706665,96491400,Tesla
10-06-2022,235.156662,239.5,227.91333,232.229996,97536600,Tesla
13-06-2022,223.166672,226.633331,214.683334,215.736664,102767400,Tesla
14-06-2022,218.286667,226.330002,211.736664,220.889999,97988700,Tesla
15-06-2022,220.916672,235.66333,218.149994,233,119131800,Tesla
16-06-2022,222.736664,225.166672,208.693329,213.100006,107390700,Tesla
17-06-2022,213.433334,220.970001,213.196671,216.759995,92641800,Tesla
21-06-2022,224.603333,243.57666,224.333328,237.036667,122793000,Tesla
22-06-2022,234.503326,246.833328,233.82666,236.08667,101107500,Tesla
23-06-2022,237.906662,239.316666,228.636673,235.070007,104202600,Tesla
24-06-2022,237.470001,246.066666,236.08667,245.706665,95770800,Tesla
27-06-2022,249.366669,252.070007,242.566666,244.919998,89178300,Tesla
28-06-2022,244.483337,249.970001,232.343338,232.66333,90391200,Tesla
29-06-2022,230.5,231.17334,222.273331,228.490005,82897200,Tesla
30-06-2022,224.509995,229.456665,218.863327,224.473328,94600500,Tesla
01-07-2022,227,230.229996,222.119995,227.263336,74460300,Tesla
05-07-2022,223,233.146667,216.166672,233.066666,84581100,Tesla
06-07-2022,230.779999,234.563339,227.186661,231.733337,71853600,Tesla
07-07-2022,233.919998,245.363327,232.210007,244.543335,81930600,Tesla
08-07-2022,242.333328,254.979996,241.160004,250.763336,101854200,Tesla
11-07-2022,252.103333,253.063339,233.626663,234.343338,99241200,Tesla
12-07-2022,236.846664,239.773331,228.369995,233.070007,87930900,Tesla
13-07-2022,225.5,242.059998,225.03334,237.039993,97954500,Tesla
14-07-2022,234.896667,238.653336,229.333328,238.313339,78557400,Tesla
15-07-2022,240,243.623337,236.889999,240.066666,69683100,Tesla
18-07-2022,244.936661,250.516663,239.603333,240.546661,82537500,Tesla
19-07-2022,245,247.139999,236.976669,245.529999,80890200,Tesla
20-07-2022,246.78334,250.66333,243.483337,247.5,88864200,Tesla
21-07-2022,255.106674,273.266663,254.866669,271.706665,142032300,Tesla
22-07-2022,276.220001,280.786682,270.713318,272.243347,103472700,Tesla
25-07-2022,272.216675,274.146667,267.399994,268.433319,64073400,Tesla
26-07-2022,266.513336,267.309998,256.263336,258.859985,66820800,Tesla
27-07-2022,263.809998,275.926666,261.790009,274.820007,88110000,Tesla
28-07-2022,280.066681,283.299988,272.799988,280.899994,84723000,Tesla
29-07-2022,280.700012,298.320007,279.100006,297.149994,95313000,Tesla
01-08-2022,301.276672,311.876678,295,297.276672,117042900,Tesla
02-08-2022,294.003326,307.833344,292.666656,300.58667,95577600,Tesla
03-08-2022,305,309.549988,301.149994,307.396667,80091000,Tesla
04-08-2022,311,313.606659,305,308.633331,72256200,Tesla
05-08-2022,302.670013,304.606659,285.543335,288.170013,113172900,Tesla
08-08-2022,295,305.200012,289.08667,290.42334,98994000,Tesla
09-08-2022,290.293335,292.396667,279.353333,283.333344,86244600,Tesla
10-08-2022,297.066681,297.51001,283.369995,294.356659,94918800,Tesla
11-08-2022,296.513336,298.236664,285.833344,286.630005,70155000,Tesla
12-08-2022,289.416656,300.160004,285.033325,300.029999,79657200,Tesla
15-08-2022,301.786682,313.133331,301.230011,309.320007,89359200,Tesla
16-08-2022,311.666656,314.666656,302.883331,306.563324,88136400,Tesla
17-08-2022,303.396667,309.656677,300.033325,303.996674,68766000,Tesla
18-08-2022,306,306.5,301.853333,302.869995,47500500,Tesla
19-08-2022,299,300.359985,292.5,296.666656,61395300,Tesla
22-08-2022,291.91333,292.399994,286.296661,289.91333,55843200,Tesla
23-08-2022,291.453339,298.82666,287.92334,296.453339,63984900,Tesla
24-08-2022,297.563324,303.646667,296.5,297.09668,57259800,Tesla
25-08-2022,302.359985,302.959991,291.600006,296.070007,53230000,Tesla
26-08-2022,297.429993,302,287.470001,288.089996,57163900,Tesla
29-08-2022,282.829987,287.73999,280.700012,284.820007,41864700,Tesla
30-08-2022,287.869995,288.480011,272.649994,277.700012,50541800,Tesla
31-08-2022,280.619995,281.25,271.809998,275.609985,52107300,Tesla
01-09-2022,272.579987,277.579987,266.149994,277.160004,54287000,Tesla
02-09-2022,281.070007,282.350006,269.079987,270.209991,50890100,Tesla
06-09-2022,272.679993,275.98999,265.73999,274.420013,55860000,Tesla
07-09-2022,273.100006,283.839996,272.269989,283.700012,50028900,Tesla
08-09-2022,281.299988,289.5,279.76001,289.26001,53713100,Tesla
09-09-2022,291.670013,299.850006,291.25,299.679993,54338100,Tesla
12-09-2022,300.720001,305.48999,300.399994,304.420013,48674600,Tesla
13-09-2022,292.899994,297.399994,290.399994,292.130005,68229600,Tesla
14-09-2022,292.23999,306,291.640015,302.609985,72628700,Tesla
15-09-2022,301.829987,309.119995,300.720001,303.75,64795500,Tesla
16-09-2022,299.609985,303.709991,295.600006,303.350006,87087800,Tesla
19-09-2022,300.089996,309.839996,297.799988,309.070007,60231200,Tesla
20-09-2022,306.910004,313.329987,305.579987,308.730011,61642800,Tesla
21-09-2022,308.290009,313.799988,300.630005,300.799988,62555700,Tesla
22-09-2022,299.859985,301.290009,285.820007,288.589996,70545400,Tesla
23-09-2022,283.089996,284.5,272.820007,275.329987,63748400,Tesla
26-09-2022,271.829987,284.089996,270.309998,276.01001,58076900,Tesla
27-09-2022,283.839996,288.670013,277.51001,282.940002,61925200,Tesla
28-09-2022,283.079987,289,277.570007,287.809998,54664800,Tesla
29-09-2022,282.76001,283.649994,265.779999,268.209991,77620600,Tesla
30-09-2022,266.149994,275.570007,262.470001,265.25,67726600,Tesla
03-10-2022,254.5,255.160004,241.009995,242.399994,98363500,Tesla
04-10-2022,250.520004,257.5,242.009995,249.440002,109578500,Tesla
05-10-2022,245.009995,246.669998,233.270004,240.809998,86982700,Tesla
06-10-2022,239.440002,244.580002,235.350006,238.130005,69298400,Tesla
07-10-2022,233.940002,234.570007,222.020004,223.070007,83916800,Tesla
10-10-2022,223.929993,226.990005,218.360001,222.960007,67925000,Tesla
11-10-2022,220.949997,225.75,215,216.5,77013200,Tesla
12-10-2022,215.330002,219.300003,211.509995,217.240005,66860700,Tesla
13-10-2022,208.300003,222.990005,206.220001,221.720001,91483000,Tesla
14-10-2022,224.009995,226.259995,204.160004,204.990005,94124500,Tesla
17-10-2022,210.039993,221.860001,209.449997,219.350006,79428800,Tesla
18-10-2022,229.5,229.820007,217.25,220.190002,75891900,Tesla
19-10-2022,219.800003,222.929993,217.779999,222.039993,66571500,Tesla
20-10-2022,208.279999,215.550003,202,207.279999,117798100,Tesla
21-10-2022,206.419998,214.660004,203.800003,214.440002,75713800,Tesla
24-10-2022,205.820007,213.5,198.589996,211.25,100446800,Tesla
25-10-2022,210.100006,224.350006,210,222.419998,96507900,Tesla
26-10-2022,219.399994,230.600006,218.199997,224.639999,85012500,Tesla
27-10-2022,229.770004,233.809998,222.850006,225.089996,61638800,Tesla
28-10-2022,225.399994,228.860001,216.350006,228.520004,69152400,Tesla
31-10-2022,226.190002,229.850006,221.940002,227.539993,61554300,Tesla
01-11-2022,234.050003,237.399994,227.279999,227.820007,62688800,Tesla
02-11-2022,226.039993,227.869995,214.820007,214.979996,63070300,Tesla
03-11-2022,211.360001,221.199997,210.139999,215.309998,56538800,Tesla
04-11-2022,222.600006,223.800003,203.080002,207.470001,98622200,Tesla
07-11-2022,208.649994,208.899994,196.660004,197.080002,93916500,Tesla
08-11-2022,194.020004,195.199997,186.75,191.300003,128803400,Tesla
09-11-2022,190.779999,195.889999,177.119995,177.589996,127062700,Tesla
10-11-2022,189.899994,191,180.029999,190.720001,132703000,Tesla
11-11-2022,186,196.520004,182.589996,195.970001,114403600,Tesla
